113,JG237,DS.SUMBERMANGGIS,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/1/2013,114.0829809,-8.435914506
114,JG233,DS.BLOKAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/5/2014,114.0990294,-8.450012544
115,JF200,DS. PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),6/27/2007,114.1557041,-8.491406649
116,JF095,DS.YUDOMULYO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),,114.1376785,-8.499555359
117,JG104,DS.KRAJAN,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/22/2015,114.0983699,-8.569635697
118,JG139,DS.MULYOASRI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),10/23/2015,114.0938151,-8.562509442
119,JG232,DS.BLOKAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/26/2016,114.0990712,-8.450632138
120,JF249,DS.BANGOREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/19/2016,114.1869045,-8.468382404
121,JF015,DS. BANGOREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),11/25/2007,114.1793896,-8.471301809
122,JF115,DS.BANGOREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),10/20/2016,114.1796591,-8.469658781
123,JG292,DS.REJOAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/20/2017,114.0916533,-8.581272415
124,JF034,DS. PURWODADI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/30/2008,114.1829148,-8.455172453
125,JF049,DS. BANGOREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),11/5/2011,114.1861721,-8.469255763
126,JF136,DS. BULUREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),1/13/2012,114.1948254,-8.472223547
127,JG332,DS.RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/20/2017,114.093932,-8.583924038
128,JF199,DS.PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),6/27/2007,114.1560714,-8.494766145
129,JG093,DS.MULYOASI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),,114.0900927,-8.561806611
130,JF137,DS.PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/19/2008,114.1551271,-8.52183454
131,JG274,DS. RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),2/23/2009,114.0805362,-8.582287611
132,JG345,DS.RINGINSARI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),9/25/2007,114.1078484,-8.594290847
133,JF284,DS.PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/25/2017,114.1524637,-8.504011028
134,JF212,DS.PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/26/2010,114.1575732,-8.500716786
135,JF202,DS.SAMBIREJO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/26/2010,114.1575706,-8.500913477
136,JF285,DS. PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),9/1/2007,114.1543058,-8.508038911
137,JF286,DS.PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.1578112,-8.507956116
138,JG180,DS.RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/15/2018,114.1001764,-8.576898258
